lp,pr,lost,per
327,193,134,0.40
328,194,134,0.40
329,195,134,0.40
331,196,135,0.40
332,197,135,0.40
333,198,135,0.40
334,199,135,0.40
335,200,135,0.40
336,201,135,0.40
337,202,135,0.40
338,203,135,0.39
339,204,135,0.39
340,205,135,0.39
341,206,135,0.39
342,207,135,0.39
343,208,135,0.39
344,209,135,0.39
371,210,161,0.43
372,211,161,0.43
373,212,161,0.43
374,213,161,0.43
375,214,161,0.42
377,215,162,0.42
378,216,162,0.42
379,217,162,0.42
380,218,162,0.42
381,219,162,0.42
382,220,162,0.42
384,221,163,0.42
385,222,163,0.42
386,223,163,0.42
387,224,163,0.42
388,225,163,0.42
389,226,163,0.41
391,227,164,0.41
392,228,164,0.41
393,229,164,0.41
394,230,164,0.41
395,231,164,0.41
396,232,164,0.41
398,233,165,0.41
399,234,165,0.41
400,235,165,0.41
401,236,165,0.41
402,237,165,0.41
403,238,165,0.40
404,239,165,0.40
405,240,165,0.40
406,241,165,0.40
407,242,165,0.40
408,243,165,0.40
409,244,165,0.40
410,245,165,0.40
412,246,166,0.40
413,247,166,0.40
414,248,166,0.40
415,249,166,0.40
416,250,166,0.39
417,251,166,0.39
418,252,166,0.39
419,253,166,0.39
420,254,166,0.39
421,255,166,0.39
422,256,166,0.39
423,257,166,0.39
424,258,166,0.39
425,259,166,0.39
426,260,166,0.38
427,261,166,0.38
428,262,166,0.38
429,263,166,0.38
430,264,166,0.38
431,265,166,0.38
432,266,166,0.38
433,267,166,0.38
434,268,166,0.38
435,269,166,0.38
436,270,166,0.38
438,271,167,0.38
439,272,167,0.38
440,273,167,0.37
441,274,167,0.37
442,275,167,0.37
443,276,167,0.37
444,277,167,0.37
445,278,167,0.37
446,279,167,0.37
447,280,167,0.37
448,281,167,0.37
449,282,167,0.37
450,283,167,0.37
452,284,168,0.37
453,285,168,0.37
454,286,168,0.37
455,287,168,0.36
456,288,168,0.36
457,289,168,0.36
458,290,168,0.36
459,291,168,0.36
460,292,168,0.36
461,293,168,0.36
462,294,168,0.36
463,295,168,0.36
464,296,168,0.36
465,297,168,0.36
466,298,168,0.36
467,299,168,0.35
468,300,168,0.35
470,301,169,0.35
472,302,170,0.36
473,303,170,0.35
474,304,170,0.35
475,305,170,0.35
476,306,170,0.35
477,307,170,0.35
479,308,171,0.35
480,309,171,0.35
481,310,171,0.35
482,311,171,0.35
483,312,171,0.35
484,313,171,0.35
485,314,171,0.35
486,315,171,0.35
487,316,171,0.35
488,317,171,0.35
489,318,171,0.34
490,319,171,0.34
491,320,171,0.34
492,321,171,0.34
493,322,171,0.34
494,323,171,0.34
495,324,171,0.34
496,325,171,0.34
497,326,171,0.34
498,327,171,0.34
499,328,171,0.34
500,329,171,0.34
501,330,171,0.34
502,331,171,0.34
503,332,171,0.33
504,333,171,0.33
505,334,171,0.33
506,335,171,0.33
507,336,171,0.33
510,337,173,0.33
511,338,173,0.33
512,339,173,0.33
513,340,173,0.33
514,341,173,0.33
516,342,174,0.33
517,343,174,0.33
518,344,174,0.33
519,345,174,0.33
520,346,174,0.33
521,347,174,0.33
523,348,175,0.33
524,349,175,0.33
525,350,175,0.33
526,351,175,0.33
527,352,175,0.33
528,353,175,0.33
531,354,177,0.33
535,355,180,0.33
539,356,183,0.33
546,357,189,0.34
547,358,189,0.34
548,359,189,0.34
549,360,189,0.34
551,361,190,0.34
552,362,190,0.34
553,363,190,0.34
554,364,190,0.34
555,365,190,0.34
556,366,190,0.34
558,367,191,0.34
559,368,191,0.34
560,369,191,0.34
561,370,191,0.34
563,371,192,0.34
565,372,193,0.34
566,373,193,0.34
567,374,193,0.34
568,375,193,0.33
569,376,193,0.33
570,377,193,0.33
571,378,193,0.33
572,379,193,0.33
573,380,193,0.33
574,381,193,0.33
575,382,193,0.33
576,383,193,0.33
577,384,193,0.33
578,385,193,0.33
579,386,193,0.33
580,387,193,0.33
581,388,193,0.33
582,389,193,0.33
583,390,193,0.33
584,391,193,0.33
585,392,193,0.32
586,393,193,0.32
587,394,193,0.32
588,395,193,0.32
589,396,193,0.32
590,397,193,0.32
591,398,193,0.32
592,399,193,0.32
593,400,193,0.32
594,401,193,0.32
595,402,193,0.32
596,403,193,0.32
597,404,193,0.32
598,405,193,0.32
599,406,193,0.32
600,407,193,0.32
601,408,193,0.32
602,409,193,0.32
603,410,193,0.32
604,411,193,0.31
605,412,193,0.31
606,413,193,0.31
607,414,193,0.31
608,415,193,0.31
609,416,193,0.31
610,417,193,0.31
611,418,193,0.31
612,419,193,0.31
613,420,193,0.31
614,421,193,0.31
615,422,193,0.31
616,423,193,0.31
617,424,193,0.31
618,425,193,0.31
619,426,193,0.31
620,427,193,0.31
621,428,193,0.31
622,429,193,0.31
623,430,193,0.30
624,431,193,0.30
625,432,193,0.30
626,433,193,0.30
627,434,193,0.30
628,435,193,0.30
629,436,193,0.30
630,437,193,0.30
631,438,193,0.30
632,439,193,0.30
633,440,193,0.30
634,441,193,0.30
635,442,193,0.30
636,443,193,0.30
637,444,193,0.30
640,445,195,0.30
641,446,195,0.30
642,447,195,0.30
643,448,195,0.30
644,449,195,0.30
645,450,195,0.30
646,451,195,0.30
647,452,195,0.30
648,453,195,0.30
649,454,195,0.30
651,455,196,0.30
652,456,196,0.30
653,457,196,0.30
654,458,196,0.29
655,459,196,0.29
656,460,196,0.29
657,461,196,0.29
658,462,196,0.29
659,463,196,0.29
660,464,196,0.29
661,465,196,0.29
665,466,199,0.29
666,467,199,0.29
667,468,199,0.29
668,469,199,0.29
669,470,199,0.29
670,471,199,0.29
671,472,199,0.29
673,473,200,0.29
674,474,200,0.29
690,475,215,0.31
691,476,215,0.31
693,477,216,0.31
694,478,216,0.31
695,479,216,0.31
698,480,218,0.31
699,481,218,0.31
700,482,218,0.31
701,483,218,0.31
702,484,218,0.31
704,485,219,0.31
705,486,219,0.31
706,487,219,0.31
707,488,219,0.30
708,489,219,0.30
709,490,219,0.30
711,491,220,0.30
712,492,220,0.30
713,493,220,0.30
714,494,220,0.30
715,495,220,0.30
716,496,220,0.30
718,497,221,0.30
719,498,221,0.30
720,499,221,0.30
721,500,221,0.30
722,501,221,0.30
723,502,221,0.30
725,503,222,0.30
726,504,222,0.30
727,505,222,0.30
741,506,235,0.31
742,507,235,0.31
743,508,235,0.31
744,509,235,0.31
746,510,236,0.31
747,511,236,0.31
748,512,236,0.31
749,513,236,0.31
750,514,236,0.31
751,515,236,0.31
752,516,236,0.31
753,517,236,0.31
754,518,236,0.31
755,519,236,0.31
756,520,236,0.31
757,521,236,0.31
758,522,236,0.31
759,523,236,0.31
760,524,236,0.31
761,525,236,0.31
762,526,236,0.30
763,527,236,0.30
764,528,236,0.30
765,529,236,0.30
766,530,236,0.30
767,531,236,0.30
768,532,236,0.30
769,533,236,0.30
770,534,236,0.30
771,535,236,0.30
772,536,236,0.30
773,537,236,0.30
774,538,236,0.30
775,539,236,0.30
776,540,236,0.30
777,541,236,0.30
778,542,236,0.30
779,543,236,0.30
780,544,236,0.30
781,545,236,0.30
782,546,236,0.30
783,547,236,0.30
784,548,236,0.30
785,549,236,0.30
786,550,236,0.30
787,551,236,0.29
788,552,236,0.29
789,553,236,0.29
790,554,236,0.29
791,555,236,0.29
792,556,236,0.29
793,557,236,0.29
794,558,236,0.29
795,559,236,0.29
796,560,236,0.29
797,561,236,0.29
798,562,236,0.29
799,563,236,0.29
800,564,236,0.29
801,565,236,0.29
802,566,236,0.29
803,567,236,0.29
804,568,236,0.29
805,569,236,0.29
806,570,236,0.29
807,571,236,0.29
808,572,236,0.29
809,573,236,0.29
810,574,236,0.29
811,575,236,0.29
812,576,236,0.29
813,577,236,0.29
814,578,236,0.28
815,579,236,0.28
816,580,236,0.28
817,581,236,0.28
818,582,236,0.28
819,583,236,0.28
820,584,236,0.28
821,585,236,0.28
822,586,236,0.28
823,587,236,0.28
824,588,236,0.28
825,589,236,0.28
826,590,236,0.28
827,591,236,0.28
828,592,236,0.28
829,593,236,0.28
830,594,236,0.28
831,595,236,0.28
832,596,236,0.28
833,597,236,0.28
834,598,236,0.28
835,599,236,0.28
836,600,236,0.28
837,601,236,0.28
838,602,236,0.28
839,603,236,0.28
840,604,236,0.28
841,605,236,0.28
843,606,237,0.28
844,607,237,0.28
845,608,237,0.28
846,609,237,0.28
847,610,237,0.27
848,611,237,0.27
850,612,238,0.28
851,613,238,0.27
852,614,238,0.27
853,615,238,0.27
854,616,238,0.27
855,617,238,0.27
857,618,239,0.27
858,619,239,0.27
859,620,239,0.27
860,621,239,0.27
861,622,239,0.27
862,623,239,0.27
864,624,240,0.27
865,625,240,0.27
866,626,240,0.27
867,627,240,0.27
868,628,240,0.27
869,629,240,0.27
872,630,242,0.27
873,631,242,0.27
922,632,290,0.31
927,633,294,0.31
929,634,295,0.31
930,635,295,0.31
931,636,295,0.31
932,637,295,0.31
934,638,296,0.31
935,639,296,0.31
936,640,296,0.31
953,641,312,0.32
976,642,334,0.34
979,643,336,0.34
980,644,336,0.34
981,645,336,0.34
982,646,336,0.34
983,647,336,0.34
986,648,338,0.34
987,649,338,0.34
989,650,339,0.34
990,651,339,0.34
991,652,339,0.34
992,653,339,0.34
994,654,340,0.34
995,655,340,0.34
1000,656,344,0.34
1037,657,380,0.36
1044,658,386,0.36
1045,659,386,0.36
