lp,pr,lost,per
175,117,58,0.33
176,118,58,0.32
177,119,58,0.32
178,120,58,0.32
179,121,58,0.32
180,122,58,0.32
181,123,58,0.32
182,124,58,0.31
183,125,58,0.31
184,126,58,0.31
185,127,58,0.31
186,128,58,0.31
187,129,58,0.31
188,130,58,0.30
189,131,58,0.30
190,132,58,0.30
191,133,58,0.30
193,134,59,0.30
194,135,59,0.30
195,136,59,0.30
196,137,59,0.30
197,138,59,0.29
198,139,59,0.29
199,140,59,0.29
200,141,59,0.29
201,142,59,0.29
202,143,59,0.29
203,144,59,0.29
204,145,59,0.28
205,146,59,0.28
206,147,59,0.28
207,148,59,0.28
208,149,59,0.28
209,150,59,0.28
210,151,59,0.28
211,152,59,0.27
212,153,59,0.27
213,154,59,0.27
214,155,59,0.27
215,156,59,0.27
216,157,59,0.27
217,158,59,0.27
218,159,59,0.27
219,160,59,0.26
220,161,59,0.26
221,162,59,0.26
222,163,59,0.26
223,164,59,0.26
224,165,59,0.26
225,166,59,0.26
226,167,59,0.26
227,168,59,0.25
228,169,59,0.25
229,170,59,0.25
230,171,59,0.25
231,172,59,0.25
232,173,59,0.25
233,174,59,0.25
234,175,59,0.25
236,176,60,0.25
237,177,60,0.25
238,178,60,0.25
239,179,60,0.25
240,180,60,0.25
241,181,60,0.24
242,182,60,0.24
243,183,60,0.24
244,184,60,0.24
246,185,61,0.24
247,186,61,0.24
248,187,61,0.24
249,188,61,0.24
250,189,61,0.24
253,190,63,0.24
254,191,63,0.24
255,192,63,0.24
256,193,63,0.24
257,194,63,0.24
258,195,63,0.24
260,196,64,0.24
261,197,64,0.24
262,198,64,0.24
263,199,64,0.24
264,200,64,0.24
265,201,64,0.24
266,202,64,0.24
267,203,64,0.23
268,204,64,0.23
269,205,64,0.23
270,206,64,0.23
271,207,64,0.23
272,208,64,0.23
273,209,64,0.23
274,210,64,0.23
275,211,64,0.23
276,212,64,0.23
277,213,64,0.23
278,214,64,0.23
279,215,64,0.22
280,216,64,0.22
281,217,64,0.22
282,218,64,0.22
283,219,64,0.22
284,220,64,0.22
285,221,64,0.22
286,222,64,0.22
287,223,64,0.22
288,224,64,0.22
289,225,64,0.22
290,226,64,0.22
291,227,64,0.21
292,228,64,0.21
293,229,64,0.21
294,230,64,0.21
295,231,64,0.21
296,232,64,0.21
297,233,64,0.21
298,234,64,0.21
299,235,64,0.21
300,236,64,0.21
301,237,64,0.21
302,238,64,0.21
303,239,64,0.21
304,240,64,0.21
305,241,64,0.20
306,242,64,0.20
307,243,64,0.20
308,244,64,0.20
309,245,64,0.20
310,246,64,0.20
311,247,64,0.20
312,248,64,0.20
313,249,64,0.20
314,250,64,0.20
315,251,64,0.20
316,252,64,0.20
317,253,64,0.20
318,254,64,0.20
319,255,64,0.20
320,256,64,0.20
321,257,64,0.19
322,258,64,0.19
323,259,64,0.19
326,260,66,0.20
327,261,66,0.20
328,262,66,0.20
329,263,66,0.20
330,264,66,0.20
331,265,66,0.19
332,266,66,0.19
333,267,66,0.19
334,268,66,0.19
343,269,74,0.21
344,270,74,0.21
345,271,74,0.21
346,272,74,0.21
347,273,74,0.21
348,274,74,0.21
349,275,74,0.21
350,276,74,0.21
351,277,74,0.21
352,278,74,0.21
353,279,74,0.20
354,280,74,0.20
355,281,74,0.20
356,282,74,0.20
357,283,74,0.20
358,284,74,0.20
359,285,74,0.20
360,286,74,0.20
361,287,74,0.20
362,288,74,0.20
363,289,74,0.20
364,290,74,0.20
365,291,74,0.20
366,292,74,0.20
367,293,74,0.20
368,294,74,0.20
369,295,74,0.20
370,296,74,0.20
371,297,74,0.19
372,298,74,0.19
373,299,74,0.19
374,300,74,0.19
375,301,74,0.19
376,302,74,0.19
377,303,74,0.19
378,304,74,0.19
379,305,74,0.19
380,306,74,0.19
381,307,74,0.19
382,308,74,0.19
383,309,74,0.19
384,310,74,0.19
385,311,74,0.19
386,312,74,0.19
387,313,74,0.19
388,314,74,0.19
389,315,74,0.19
390,316,74,0.18
392,317,75,0.19
394,318,76,0.19
395,319,76,0.19
396,320,76,0.19
397,321,76,0.19
399,322,77,0.19
400,323,77,0.19
402,324,78,0.19
403,325,78,0.19
404,326,78,0.19
406,327,79,0.19
407,328,79,0.19
408,329,79,0.19
409,330,79,0.19
410,331,79,0.19
411,332,79,0.19
413,333,80,0.19
414,334,80,0.19
415,335,80,0.19
416,336,80,0.19
417,337,80,0.19
418,338,80,0.19
420,339,81,0.19
421,340,81,0.19
422,341,81,0.19
423,342,81,0.19
424,343,81,0.19
425,344,81,0.19
427,345,82,0.19
428,346,82,0.19
429,347,82,0.19
430,348,82,0.19
431,349,82,0.19
432,350,82,0.18
433,351,82,0.18
434,352,82,0.18
435,353,82,0.18
436,354,82,0.18
437,355,82,0.18
438,356,82,0.18
439,357,82,0.18
441,358,83,0.18
442,359,83,0.18
443,360,83,0.18
444,361,83,0.18
445,362,83,0.18
446,363,83,0.18
448,364,84,0.18
449,365,84,0.18
450,366,84,0.18
451,367,84,0.18
452,368,84,0.18
453,369,84,0.18
454,370,84,0.18
455,371,84,0.18
456,372,84,0.18
457,373,84,0.18
458,374,84,0.18
459,375,84,0.18
460,376,84,0.18
462,377,85,0.18
464,378,86,0.18
465,379,86,0.18
466,380,86,0.18
467,381,86,0.18
468,382,86,0.18
469,383,86,0.18
470,384,86,0.18
471,385,86,0.18
472,386,86,0.18
473,387,86,0.18
474,388,86,0.18
475,389,86,0.18
476,390,86,0.18
477,391,86,0.18
478,392,86,0.17
479,393,86,0.17
480,394,86,0.17
481,395,86,0.17
482,396,86,0.17
483,397,86,0.17
484,398,86,0.17
485,399,86,0.17
486,400,86,0.17
487,401,86,0.17
488,402,86,0.17
489,403,86,0.17
490,404,86,0.17
491,405,86,0.17
492,406,86,0.17
493,407,86,0.17
494,408,86,0.17
495,409,86,0.17
497,410,87,0.17
498,411,87,0.17
499,412,87,0.17
500,413,87,0.17
501,414,87,0.17
502,415,87,0.17
503,416,87,0.17
504,417,87,0.17
507,418,89,0.17
511,419,92,0.18
512,420,92,0.17
515,421,94,0.18
516,422,94,0.18
518,423,95,0.18
519,424,95,0.18
521,425,96,0.18
522,426,96,0.18
525,427,98,0.18
526,428,98,0.18
529,429,100,0.18
534,430,104,0.19
535,431,104,0.19
537,432,105,0.19
1452,433,1019,0.70
1454,434,1020,0.70
1455,435,1020,0.70
1456,436,1020,0.70
1457,437,1020,0.70
1489,438,1051,0.70
1495,439,1056,0.70
1496,440,1056,0.70
1497,441,1056,0.70
1498,442,1056,0.70
1499,443,1056,0.70
1501,444,1057,0.70
1507,445,1062,0.70
1508,446,1062,0.70
1509,447,1062,0.70
1511,448,1063,0.70
1512,449,1063,0.70
1513,450,1063,0.70
1514,451,1063,0.70
1515,452,1063,0.70
1516,453,1063,0.70
1517,454,1063,0.70
1518,455,1063,0.70
1519,456,1063,0.69
1520,457,1063,0.69
1521,458,1063,0.69
1540,459,1081,0.70
1544,460,1084,0.70
1554,461,1093,0.70
1555,462,1093,0.70
1556,463,1093,0.70
1557,464,1093,0.70
1558,465,1093,0.70
1559,466,1093,0.70
1560,467,1093,0.70
1561,468,1093,0.70
1562,469,1093,0.69
1563,470,1093,0.69
1564,471,1093,0.69
1565,472,1093,0.69
1566,473,1093,0.69
1567,474,1093,0.69
1568,475,1093,0.69
1569,476,1093,0.69
1570,477,1093,0.69
1571,478,1093,0.69
1572,479,1093,0.69
1573,480,1093,0.69
1574,481,1093,0.69
1575,482,1093,0.69
1576,483,1093,0.69
1577,484,1093,0.69
1578,485,1093,0.69
1579,486,1093,0.69
1580,487,1093,0.69
1581,488,1093,0.69
1582,489,1093,0.69
1583,490,1093,0.69
1584,491,1093,0.69
1585,492,1093,0.68
1586,493,1093,0.68
1587,494,1093,0.68
1588,495,1093,0.68
1589,496,1093,0.68
1590,497,1093,0.68
1592,498,1094,0.68
1593,499,1094,0.68
1594,500,1094,0.68
1595,501,1094,0.68
1596,502,1094,0.68
1597,503,1094,0.68
1598,504,1094,0.68
1599,505,1094,0.68
1600,506,1094,0.68
1601,507,1094,0.68
1602,508,1094,0.68
1603,509,1094,0.68
1604,510,1094,0.68
1605,511,1094,0.68
1606,512,1094,0.68
1607,513,1094,0.68
1608,514,1094,0.68
1609,515,1094,0.67
1610,516,1094,0.67
1611,517,1094,0.67
1613,518,1095,0.67
1614,519,1095,0.67
1615,520,1095,0.67
1616,521,1095,0.67
1617,522,1095,0.67
1618,523,1095,0.67
1620,524,1096,0.67
1621,525,1096,0.67
1622,526,1096,0.67
1623,527,1096,0.67
1624,528,1096,0.67
1625,529,1096,0.67
1627,530,1097,0.67
1628,531,1097,0.67
1629,532,1097,0.67
1630,533,1097,0.67
1631,534,1097,0.67
1632,535,1097,0.67
1633,536,1097,0.67
1634,537,1097,0.67
1635,538,1097,0.67
1636,539,1097,0.67
1637,540,1097,0.67
1638,541,1097,0.66
1639,542,1097,0.66
1640,543,1097,0.66
1641,544,1097,0.66
1642,545,1097,0.66
1643,546,1097,0.66
1644,547,1097,0.66
