connecting to JLink...
connecting to nRF52840_xxAA...
connected, starting RTT...
RTT started, 2 up bufs, 2 down bufs.
up channels:
    0: name = 'Terminal', size = 512 bytes, flags = 0
    1: name = '', size = 0 bytes, flags = 0
down channels:
    0: name = 'Terminal', size = 16 bytes, flags = 0
    1: name = '', size = 0 bytes, flags = 0
<info> app: RSSI: -56, PR: 29, LP: 2307,  PER: 0.98
<info> app: RSSI: -56, PR: 30, LP: 2312,  PER: 0.98
<info> app: RSSI: -55, PR: 31, LP: 2314,  PER: 0.98
<info> app: RSSI: -55, PR: 32, LP: 2320,  PER: 0.98
<info> app: RSSI: -56, PR: 33, LP: 2330,  PER: 0.98
<info> app: RSSI: -50, PR: 34, LP: 2337,  PER: 0.98
<info> app: RSSI: -52, PR: 35, LP: 2340,  PER: 0.98
<info> app: RSSI: -62, PR: 36, LP: 2376,  PER: 0.98
<info> app: RSSI: -56, PR: 37, LP: 2377,  PER: 0.98
<info> app: RSSI: -57, PR: 38, LP: 2437,  PER: 0.98
<info> app: RSSI: -51, PR: 39, LP: 2567,  PER: 0.98
<info> app: RSSI: -55, PR: 40, LP: 2593,  PER: 0.98
<info> app: RSSI: -58, PR: 41, LP: 2632,  PER: 0.98
<info> app: RSSI: -60, PR: 42, LP: 2658,  PER: 0.98
<info> app: RSSI: -56, PR: 43, LP: 2865,  PER: 0.98
<info> app: RSSI: -50, PR: 44, LP: 3088,  PER: 0.98
<info> app: RSSI: -55, PR: 45, LP: 4931,  PER: 0.99
<info> app: RSSI: -56, PR: 46, LP: 5893,  PER: 0.99
<info> app: RSSI: -57, PR: 47, LP: 6385,  PER: 0.99
<info> app: RSSI: -57, PR: 48, LP: 6405,  PER: 0.99
<info> app: RSSI: -55, PR: 49, LP: 6413,  PER: 0.99
<info> app: RSSI: -56, PR: 50, LP: 6449,  PER: 0.99
<info> app: RSSI: -55, PR: 51, LP: 6696,  PER: 0.99
<info> app: RSSI: -56, PR: 52, LP: 6722,  PER: 0.99
<info> app: RSSI: -61, PR: 53, LP: 6816,  PER: 0.99
<info> app: RSSI: -54, PR: 54, LP: 6917,  PER: 0.99
<info> app: RSSI: -54, PR: 55, LP: 7201,  PER: 0.99
<info> app: RSSI: -64, PR: 56, LP: 7316,  PER: 0.99
<info> app: RSSI: -56, PR: 57, LP: 8321,  PER: 0.99
<info> app: RSSI: -55, PR: 58, LP: 8465,  PER: 0.99
<info> app: RSSI: -63, PR: 59, LP: 8468,  PER: 0.99
<info> app: RSSI: -71, PR: 60, LP: 8475,  PER: 0.99
<info> app: RSSI: -67, PR: 61, LP: 8476,  PER: 0.99
<info> app: RSSI: -58, PR: 62, LP: 8483,  PER: 0.99
<info> app: RSSI: -57, PR: 63, LP: 8484,  PER: 0.99
<info> app: RSSI: -55, PR: 64, LP: 8485,  PER: 0.99
<info> app: RSSI: -58, PR: 65, LP: 8491,  PER: 0.99
<info> app: RSSI: -57, PR: 66, LP: 8493,  PER: 0.99
<info> app: RSSI: -61, PR: 67, LP: 8504,  PER: 0.99
<info> app: RSSI: -56, PR: 68, LP: 8517,  PER: 0.99
<info> app: RSSI: -57, PR: 69, LP: 8710,  PER: 0.99
<info> app: RSSI: -56, PR: 70, LP: 8719,  PER: 0.99
<info> app: RSSI: -57, PR: 71, LP: 8724,  PER: 0.99
<info> app: RSSI: -57, PR: 72, LP: 8726,  PER: 0.99
<info> app: RSSI: -60, PR: 73, LP: 8732,  PER: 0.99
<info> app: RSSI: -57, PR: 74, LP: 8749,  PER: 0.99
<info> app: RSSI: -59, PR: 75, LP: 8772,  PER: 0.99
<info> app: RSSI: -59, PR: 76, LP: 8773,  PER: 0.99
<info> app: RSSI: -65, PR: 77, LP: 8808,  PER: 0.99
<info> app: RSSI: -51, PR: 78, LP: 8832,  PER: 0.99
<info> app: RSSI: -55, PR: 79, LP: 8836,  PER: 0.99
<info> app: RSSI: -57, PR: 80, LP: 8848,  PER: 0.99
<info> app: RSSI: -66, PR: 81, LP: 8885,  PER: 0.99
<info> app: RSSI: -53, PR: 82, LP: 8967,  PER: 0.99
<info> app: RSSI: -57, PR: 83, LP: 8970,  PER: 0.99
<info> app: RSSI: -56, PR: 84, LP: 8979,  PER: 0.99
<info> app: RSSI: -56, PR: 85, LP: 8986,  PER: 0.99
<info> app: RSSI: -61, PR: 86, LP: 9019,  PER: 0.99
<info> app: RSSI: -58, PR: 87, LP: 9037,  PER: 0.99
<info> app: RSSI: -67, PR: 88, LP: 9056,  PER: 0.99
<info> app: RSSI: -57, PR: 89, LP: 9088,  PER: 0.99
<info> app: RSSI: -60, PR: 90, LP: 9094,  PER: 0.99
<info> app: RSSI: -58, PR: 91, LP: 9123,  PER: 0.99
<info> app: RSSI: -76, PR: 92, LP: 9205,  PER: 0.99
<info> app: RSSI: -56, PR: 93, LP: 9236,  PER: 0.98
<info> app: RSSI: -56, PR: 94, LP: 9251,  PER: 0.98
<info> app: RSSI: -56, PR: 95, LP: 9257,  PER: 0.98
<info> app: RSSI: -56, PR: 96, LP: 9281,  PER: 0.98
<info> app: RSSI: -73, PR: 97, LP: 9284,  PER: 0.98
<info> app: RSSI: -56, PR: 98, LP: 9285,  PER: 0.98
<info> app: RSSI: -65, PR: 99, LP: 9289,  PER: 0.98
<info> app: RSSI: -66, PR: 100, LP: 9296,  PER: 0.98
<info> app: RSSI: -65, PR: 101, LP: 9298,  PER: 0.98
<info> app: RSSI: -65, PR: 102, LP: 9299,  PER: 0.98
<info> app: RSSI: -60, PR: 103, LP: 9302,  PER: 0.98
<info> app: RSSI: -60, PR: 104, LP: 9304,  PER: 0.98
<info> app: RSSI: -59, PR: 105, LP: 9314,  PER: 0.98
<info> app: RSSI: -64, PR: 106, LP: 9320,  PER: 0.98
<info> app: RSSI: -69, PR: 107, LP: 9323,  PER: 0.98
<info> app: RSSI: -59, PR: 108, LP: 9330,  PER: 0.98
<info> app: RSSI: -63, PR: 109, LP: 9335,  PER: 0.98
<info> app: RSSI: -62, PR: 110, LP: 9339,  PER: 0.98
<info> app: RSSI: -65, PR: 111, LP: 9341,  PER: 0.98
<info> app: RSSI: -62, PR: 112, LP: 9342,  PER: 0.98
<info> app: RSSI: -58, PR: 113, LP: 9345,  PER: 0.98
<info> app: RSSI: -65, PR: 114, LP: 9346,  PER: 0.98
<info> app: RSSI: -57, PR: 115, LP: 9348,  PER: 0.98
<info> app: RSSI: -69, PR: 116, LP: 9354,  PER: 0.98
<info> app: RSSI: -56, PR: 117, LP: 9364,  PER: 0.98
<info> app: RSSI: -69, PR: 118, LP: 9367,  PER: 0.98
<info> app: RSSI: -66, PR: 119, LP: 9368,  PER: 0.98
<info> app: RSSI: -60, PR: 120, LP: 9369,  PER: 0.98
<info> app: RSSI: -65, PR: 121, LP: 9373,  PER: 0.98
<info> app: RSSI: -69, PR: 122, LP: 9375,  PER: 0.98
<info> app: RSSI: -55, PR: 123, LP: 9376,  PER: 0.98
<info> app: RSSI: -63, PR: 124, LP: 9378,  PER: 0.98
<info> app: RSSI: -58, PR: 125, LP: 9381,  PER: 0.98
<info> app: RSSI: -61, PR: 126, LP: 9387,  PER: 0.98
<info> app: RSSI: -68, PR: 127, LP: 9389,  PER: 0.98
<info> app: RSSI: -67, PR: 128, LP: 9392,  PER: 0.98
<info> app: RSSI: -56, PR: 129, LP: 9395,  PER: 0.98
<info> app: RSSI: -55, PR: 130, LP: 9396,  PER: 0.98
<info> app: RSSI: -61, PR: 131, LP: 9397,  PER: 0.98
<info> app: RSSI: -60, PR: 132, LP: 9399,  PER: 0.98
<info> app: RSSI: -63, PR: 133, LP: 9405,  PER: 0.98
<info> app: RSSI: -59, PR: 134, LP: 9409,  PER: 0.98
<info> app: RSSI: -59, PR: 135, LP: 9410,  PER: 0.98
<info> app: RSSI: -63, PR: 136, LP: 9411,  PER: 0.98
<info> app: RSSI: -59, PR: 137, LP: 9412,  PER: 0.98
<info> app: RSSI: -62, PR: 138, LP: 9414,  PER: 0.98
<info> app: RSSI: -57, PR: 139, LP: 9416,  PER: 0.98
<info> app: RSSI: -60, PR: 140, LP: 9417,  PER: 0.98
<info> app: RSSI: -71, PR: 141, LP: 9418,  PER: 0.98
<info> app: RSSI: -61, PR: 142, LP: 9419,  PER: 0.98
<info> app: RSSI: -61, PR: 143, LP: 9420,  PER: 0.98
<info> app: RSSI: -58, PR: 144, LP: 9421,  PER: 0.98
<info> app: RSSI: -60, PR: 145, LP: 9422,  PER: 0.98
<info> app: RSSI: -68, PR: 146, LP: 9423,  PER: 0.98
<info> app: RSSI: -58, PR: 147, LP: 9425,  PER: 0.98
<info> app: RSSI: -60, PR: 148, LP: 9426,  PER: 0.98
<info> app: RSSI: -64, PR: 149, LP: 9427,  PER: 0.98
<info> app: RSSI: -60, PR: 150, LP: 9428,  PER: 0.98
<info> app: RSSI: -59, PR: 151, LP: 9429,  PER: 0.98
<info> app: RSSI: -58, PR: 152, LP: 9430,  PER: 0.98
<info> app: RSSI: -61, PR: 153, LP: 9432,  PER: 0.98
<info> app: RSSI: -59, PR: 154, LP: 9435,  PER: 0.98
<info> app: RSSI: -60, PR: 155, LP: 9436,  PER: 0.98
<info> app: RSSI: -64, PR: 156, LP: 9438,  PER: 0.98
<info> app: RSSI: -55, PR: 157, LP: 9442,  PER: 0.98
<info> app: RSSI: -58, PR: 158, LP: 9443,  PER: 0.98
<info> app: RSSI: -63, PR: 159, LP: 9448,  PER: 0.98
<info> app: RSSI: -57, PR: 160, LP: 9450,  PER: 0.98
<info> app: RSSI: -62, PR: 161, LP: 9453,  PER: 0.98
<info> app: RSSI: -62, PR: 162, LP: 9454,  PER: 0.98
<info> app: RSSI: -57, PR: 163, LP: 9459,  PER: 0.98
<info> app: RSSI: -59, PR: 164, LP: 9460,  PER: 0.98
<info> app: RSSI: -56, PR: 165, LP: 9480,  PER: 0.98
<info> app: RSSI: -56, PR: 166, LP: 9482,  PER: 0.98
<info> app: RSSI: -59, PR: 167, LP: 9486,  PER: 0.98
<info> app: RSSI: -65, PR: 168, LP: 9498,  PER: 0.98
<info> app: RSSI: -67, PR: 169, LP: 9503,  PER: 0.98
<info> app: RSSI: -56, PR: 170, LP: 9504,  PER: 0.98
<info> app: RSSI: -56, PR: 171, LP: 9507,  PER: 0.98
<info> app: RSSI: -52, PR: 172, LP: 9512,  PER: 0.98
<info> app: RSSI: -56, PR: 173, LP: 9515,  PER: 0.98
<info> app: RSSI: -51, PR: 174, LP: 9517,  PER: 0.98
<info> app: RSSI: -53, PR: 175, LP: 9520,  PER: 0.98
<info> app: RSSI: -62, PR: 176, LP: 9521,  PER: 0.98
<info> app: RSSI: -57, PR: 177, LP: 9522,  PER: 0.98
<info> app: RSSI: -65, PR: 178, LP: 9523,  PER: 0.98
<info> app: RSSI: -54, PR: 179, LP: 9524,  PER: 0.98
<info> app: RSSI: -54, PR: 180, LP: 9526,  PER: 0.98
<info> app: RSSI: -56, PR: 181, LP: 9536,  PER: 0.98
<info> app: RSSI: -64, PR: 182, LP: 9537,  PER: 0.98
<info> app: RSSI: -56, PR: 183, LP: 9538,  PER: 0.98
<info> app: RSSI: -56, PR: 184, LP: 9539,  PER: 0.98
<info> app: RSSI: -56, PR: 185, LP: 9542,  PER: 0.98
<info> app: RSSI: -59, PR: 186, LP: 9553,  PER: 0.98
<info> app: RSSI: -68, PR: 187, LP: 9555,  PER: 0.98
<info> app: RSSI: -70, PR: 188, LP: 9556,  PER: 0.98
<info> app: RSSI: -68, PR: 189, LP: 9557,  PER: 0.98
<info> app: RSSI: -58, PR: 190, LP: 9558,  PER: 0.98
<info> app: RSSI: -60, PR: 191, LP: 9559,  PER: 0.98
<info> app: RSSI: -61, PR: 192, LP: 9561,  PER: 0.97
<info> app: RSSI: -65, PR: 193, LP: 9566,  PER: 0.97
<info> app: RSSI: -58, PR: 194, LP: 9567,  PER: 0.97
<info> app: RSSI: -58, PR: 195, LP: 9571,  PER: 0.97
<info> app: RSSI: -72, PR: 196, LP: 9572,  PER: 0.97
<info> app: RSSI: -62, PR: 197, LP: 9573,  PER: 0.97
<info> app: RSSI: -66, PR: 198, LP: 9577,  PER: 0.97
<info> app: RSSI: -65, PR: 199, LP: 9578,  PER: 0.97
<info> app: RSSI: -61, PR: 200, LP: 9579,  PER: 0.97
<info> app: RSSI: -65, PR: 201, LP: 9581,  PER: 0.97
<info> app: RSSI: -61, PR: 202, LP: 9585,  PER: 0.97
<info> app: RSSI: -56, PR: 203, LP: 9588,  PER: 0.97
<info> app: RSSI: -63, PR: 204, LP: 9589,  PER: 0.97
<info> app: RSSI: -58, PR: 205, LP: 9765,  PER: 0.97
<info> app: RSSI: -66, PR: 206, LP: 9890,  PER: 0.97
<info> app: RSSI: -61, PR: 207, LP: 10132,  PER: 0.97
